source_row,specimen_number,species,common_name,material,stain,plane,section_thickness_micrometers,number_of_slides,number_of_sections,collection_group,continuation_note
580,554,Canis familiaris,Dog,Spinal cord T4 - T7,Tol. blue,Longitudinal,50,13,65,MAMMALS,
581,555,Canis familiaris,Dog,Spinal cord T4 - T7,Tol. blue,Longitudinal,50,15,75,MAMMALS,
582,556,,,,,,,,,MAMMALS,
583,557,Canis familiaris,Dog,Spinal cord T8 - T11,Tol. blue,Longitudinal,50,10,70,MAMMALS,
584,558,Canis familiaris,Dog,Spinal cord T8 - T11,Tol. blue,Longitudinal,50,10,69,MAMMALS,
585,559,Canis familiaris,Dog,Spinal cord T12 - L3,Tol. blue,Longitudinal,50,11,78,MAMMALS,
586,560,Canis familiaris,Dog,Spinal cord T12 - L3,Tol. blue,Longitudinal,50,15,75,MAMMALS,
587,561,Canis familiaris,Dog,Spinal cord L4 - L5,Tol. blue,Longitudinal,50,15,90,MAMMALS,
588,562,Canis familiaris,Dog,Spinal cord S1 - S4,Tol. blue,Longitudinal,50,16,73,MAMMALS,
589,563,Canis familiaris,Dog,Spinal cord,Pyr. silver,Transverse,5 to 15,12,,MAMMALS,
590,564,Canis familiaris,Dog,Spinal ganglia,Tol. silver,Transverse,25,13,798,MAMMALS,
591,565,Canis familiaris,Dog,Spinal ganglia,Pyr. blue,Longitudinal,,17,336,MAMMALS,
592,566,Canis familiaris,Dog,Symp. ganglia,Pyr. blue,Longitudinal,15,15,274,MAMMALS,
593,567,Canis familiaris,Dog,Symp. ganglia,Pyr. blue,Longitudinal,10 to 15,8,126,MAMMALS,
594,568,Canis familiaris,Dog,Symp. ganglia,Pyr. blue,Longitudinal,10,7,197,MAMMALS,
595,569,Canis familiaris,Dog,Symp. ganglia,Pyr. blue,Longitudinal,15,8,170,MAMMALS,
596,570,Canis familiaris,Dog,Submax. ganglia,Pyr. blue,Longitudinal,15,5,40,MAMMALS,
597,571,,,,,,,,,MAMMALS,
598,572,Mustela novebordensis,Weasel,Brain,Tol. blue & Eosine,Transverse,15,168,2666,MAMMALS,
599,573,Mustela vison,Mink,Brain,Tol. blue,Transverse,25,272,1212,MAMMALS,
600,574,Mustela vison,Mink,Brain,Weigert,Transverse,25,221,1378,MAMMALS,
601,575,Mustela vison,Mink,Brain,Pyr. silver,Transverse,,267,1752,MAMMALS,
602,576,Mustela vison,Mink,Brain,Tol. blue,Sagittal,25,123,730,MAMMALS,
603,577,Felis domestica,Cat,Brain,Tol. blue,Transverse,,237,1629,MAMMALS,
604,578,Felis domestica,Cat,Brain,Tol. blue,Transverse,50,321,1151,MAMMALS,
605,579,Felis domestica,Cat,Brain,Tol. blue,Sagittal,50,250,633,MAMMALS,
606,580,Felis domestica,Cat,Brain,Weigert,Transverse,,456,1772,MAMMALS,
607,581,Felis domestica,Cat,Medulla & Pons,Iron - Hema.,Transverse,10,15,584,MAMMALS,
608,582,Felis domestica,Cat,Brain stem,Iron - Hema.,Sagittal,10,31,658,MAMMALS,
