Species,species_as_published,canonical_structure,structure_as_published,mass_mg,mass_g,mass_se_mg,n,sex,unit_original,conversion_factor_to_mg,role,derivation,source,citation,mapping_gap
Pongo pygmaeus,Pongo pygmaeus,Cerebellum,Cerebellum,35060.0,35.06,4340.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Gorilla gorilla,Gorilla gorilla,Cerebellum,Cerebellum,37560.0,37.56,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Giraffa camelopardalis,Giraffa camelopardalis,Cerebellum,Cerebellum,67730.0,67.73,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Homo sapiens,Homo sapiens,Cerebellum,Cerebellum,154020.0,154.02,19290.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Loxodonta africana,Loxodonta africana,Cerebellum,Cerebellum,1171628.0,1171.628,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Sorex fumeus,Sorex fumeus,RoB,Rest of brain (RoB),72.0,0.072,10.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Blarina brevicauda,Blarina brevicauda,RoB,Rest of brain (RoB),113.0,0.113,9.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Heterocephalus glaber,Heterocephalus glaber,RoB,Rest of brain (RoB),160.0,0.16,19.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Mus musculus,Mus musculus,RoB,Rest of brain (RoB),172.0,0.172,19.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Parascalops breweri,Parascalops breweri,RoB,Rest of brain (RoB),228.0,0.228,9.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Condylura cristata,Condylura cristata,RoB,Rest of brain (RoB),244.0,0.244,26.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Amblysomus hottentotus,Amblysomus hottentotus,RoB,Rest of brain (RoB),289.0,0.289,13.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Scalopus aquaticus,Scalopus aquaticus,RoB,Rest of brain (RoB),370.0,0.37,42.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Mesocricetus auratus,Mesocricetus auratus,RoB,Rest of brain (RoB),375.0,0.375,57.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Elephantulus myurus,Elephantulus myurus,RoB,Rest of brain (RoB),401.0,0.401,63.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Microcebus murinus,Microcebus murinus,RoB,Rest of brain (RoB),500.0,0.5,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Rattus norvegicus,Rattus norvegicus,RoB,Rest of brain (RoB),683.0,0.683,153.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Proechimys guyannensis,Proechimys cayennensis,RoB,Rest of brain (RoB),824.0,0.824,6.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Petrodromus tetradactylus,Petrodromus tetradactylus,RoB,Rest of brain (RoB),894.0,0.894,22.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Tupaia glis,Tupaia glis,RoB,Rest of brain (RoB),919.0,0.919,72.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Cavia porcellus,Cavia porcellus,RoB,Rest of brain (RoB),1218.0,1.218,178.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Callithrix jacchus,Callithrix jacchus,RoB,Rest of brain (RoB),1489.0,1.489,317.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Sciurus carolinensis,Sciurus carolinensis,RoB,Rest of brain (RoB),1943.0,1.943,156.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
,Cynomys sp.,RoB,Rest of brain (RoB),1945.0,1.945,146.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Callimico goeldii,Callimico goeldii,RoB,Rest of brain (RoB),2086.0,2.086,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Otolemur garnettii,Otolemur garnettii,RoB,Rest of brain (RoB),2131.0,2.131,21.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Aotus trivirgatus,Aotus trivirgatus,RoB,Rest of brain (RoB),3104.0,3.104,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
