Genus;Species;Location;Subject;Sex;Age;#insertions;Notes on insertions;#bouts;HI;AbsHI;z-score;Category;References;General notes;Clade
Cercopithecus;neglectus;Université de Rennes, Paimpont;Pimprenelle;f;juvenile;NA;NA;82;0.51;0.51;NA;right;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercopithecus;neglectus;Université de Rennes, Paimpont;Ari;m;adult;NA;NA;279;-1;1;NA;left;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercopithecus;neglectus;Université de Rennes, Paimpont;Galaad;m;adult;NA;NA;206;-0.98;0.98;NA;left;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercopithecus;neglectus;Université de Rennes, Paimpont;Globule;m;adult;NA;NA;202;0.52;0.52;NA;right;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercopithecus;neglectus;Université de Rennes, Paimpont;Percé;m;adult;NA;NA;209;-0.71;0.71;NA;left;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercopithecus;neglectus;Université de Rennes, Paimpont;Pollux;m;adult;NA;NA;201;-0.97;0.97;NA;left;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercopithecus;neglectus;Université de Rennes, Paimpont;Tom;m;adult;218;NA;NA;-0.61;0.61;NA;left;Schweitzer et al. 2007;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercopithecus;neglectus;Université de Rennes, Paimpont;Elise;m;adult;NA;NA;204;0.63;0.63;NA;right;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercopithecus;neglectus;Université de Rennes, Paimpont;Fora;m;adult;NA;NA;214;-0.58;0.58;NA;left;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercopithecus;neglectus;Université de Rennes, Paimpont;Mashin;m;juvenile;NA;NA;200;-1;1;NA;left;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercopithecus;neglectus;Université de Rennes, Paimpont;Victoire;m;juvenile;NA;NA;211;-0.69;0.69;NA;left;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercopithecus;neglectus;Bekesbourne;Funio;m;adult;42;NA;13;-1;1;-6.480740698;left;this study;;Cercopithecoidea
Cercopithecus;neglectus;Bekesbourne;Afia;f;adult;38;NA;12;-0.737;0.74;-4.542199792;left;this study;;Cercopithecoidea
Cercopithecus;neglectus;Overloon;Steven;m;adult;65;NA;19;-0.2;0.2;-1.61245155;ambipreferent;this study;;Cercopithecoidea
Cercopithecus;neglectus;Overloon;Jack;f;adult;38;NA;9;0;0;0;ambipreferent;this study;;Cercopithecoidea
Cercopithecus;neglectus;Overloon;Wendy;f;adult;52;NA;25;0.462;0.46;3.328201177;right;this study;;Cercopithecoidea
Cercopithecus;neglectus;Duisburg;male_1;m;juvenile;48;NA;21;-0.875;0.88;-6.062177826;left;this study;;Cercopithecoidea
