"Species","n_sources","n_teams","pooled_g","spread_max_over_min","flag","per_source"
"Babyrousa babyrussa",3,1,127,NA,"","Burger2019(Burger,secondary)=127 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Balaena mysticetus",3,1,2738,NA,"","Burger2019(Burger,secondary)=2738 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Balaenoptera borealis",3,1,4900,NA,"","Burger2019(Burger,secondary)=4900 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Balaenoptera musculus",3,1,3636,NA,"","Burger2019(Burger,secondary)=3636 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Balaenoptera physalus",3,1,5100,NA,"","Burger2019(Burger,secondary)=5100 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Balionycteris maculata",3,1,0.5107,NA,"","Burger2019(Burger,secondary)=0.51 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Barbastella barbastellus",3,1,0.184,NA,"","Burger2019(Burger,secondary)=0.18 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Bassaricyon alleni",3,1,19.37,NA,"","Burger2019(Burger,secondary)=19.37 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Bassaricyon gabbii",3,1,19.3,NA,"","Burger2019(Burger,secondary)=19.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Bassariscus astutus",3,1,16,NA,"","Burger2019(Burger,secondary)=16 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Bassariscus sumichrasti",3,1,41.9,NA,"","Burger2019(Burger,secondary)=41.9 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Bdeogale crassicauda",3,1,16.95,NA,"","Burger2019(Burger,secondary)=16.95 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Beamys hindei",3,1,1.11,NA,"","Burger2019(Burger,secondary)=1.11 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Berylmys bowersi",3,1,4.63,NA,"","Burger2019(Burger,secondary)=4.63 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Bettongia gaimardi",3,1,11.7,NA,"","Burger2019(Burger,secondary)=11.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Bettongia lesueur",3,1,10.5,NA,"","Burger2019(Burger,secondary)=10.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Bettongia tropica",3,1,8.92,NA,"","Burger2019(Burger,secondary)=8.92 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Bison bison",3,1,458,NA,"","Burger2019(Burger,secondary)=458 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Bos grunniens",3,1,334,NA,"","Burger2019(Burger,secondary)=334 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Bos taurus indicus",3,1,462,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=462"
"Boselaphus tragocamelus",3,1,271.75,NA,"","Burger2019(Burger,secondary)=271.75 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Brachyphylla cavernarum",3,1,1.278,NA,"","Burger2019(Burger,secondary)=1.28 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Brachyteles arachnoides",3,1,119.4,NA,"","Burger2019(Burger,secondary)=119.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Bradypus tridactylus",3,1,24.9,NA,"","Burger2019(Burger,secondary)=24.9 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Bradypus variegatus",3,1,16.03,NA,"","Burger2019(Burger,secondary)=16.03 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Broken Hill/Kabwe",3,1,1205.39,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Weaver2001(Weaver,primary)=1205.39"
"Bunopithecus hoolock",3,1,110.6804,NA,"","Burger2019(Burger,secondary)=110.68 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Burramys parvus",3,1,1,NA,"","Burger2019(Burger,secondary)=1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"C. apella",3,1,66.5,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Weaver2001(Weaver,primary)=66.5"
"C. atys",3,1,99.7,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Weaver2001(Weaver,primary)=99.7"
"Cabassous unicinctus",3,1,23.68,NA,"","Burger2019(Burger,secondary)=23.68 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cacajao calvus",3,1,74.3,NA,"","Burger2019(Burger,secondary)=74.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cacajao melanocephalus",3,1,64.9,NA,"","Burger2019(Burger,secondary)=64.9 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cacatua galerita",3,1,10.1307,NA,"","Olkowicz2016(Olkowicz,primary)=10.13 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cacatua goffini",3,1,8.2749,NA,"","Olkowicz2016(Olkowicz,primary)=8.27 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Caenolestes fuliginosus",3,1,0.68,NA,"","Burger2019(Burger,secondary)=0.68 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Callicebus caligatus",3,1,17.25,NA,"","Burger2019(Burger,secondary)=17.25 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Callicebus cupreus",3,1,17.1,NA,"","Burger2019(Burger,secondary)=17.1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Callicebus discolor",3,1,17.5288,NA,"","Burger2019(Burger,secondary)=17.53 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Callicebus lugens",3,1,18.9725,NA,"","Burger2019(Burger,secondary)=18.97 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Callicebus medemi",3,1,19.4359,NA,"","Burger2019(Burger,secondary)=19.44 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Callicebus regulus",3,1,23,NA,"","Burger2019(Burger,secondary)=23 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Callicebus torquatus",3,1,19.1,NA,"","Burger2019(Burger,secondary)=19.1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Callithrix argentata",3,1,8,NA,"","Burger2019(Burger,secondary)=8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Callithrix aurita",3,1,7.2,NA,"","Burger2019(Burger,secondary)=7.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Callithrix geoffroyi",3,1,19.9,NA,"","Burger2019(Burger,secondary)=19.9 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Callithrix humeralifera",3,1,8.2,NA,"","Burger2019(Burger,secondary)=8.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Callithrix penicillata",3,1,7.3,NA,"","Burger2019(Burger,secondary)=7.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Callosciurus caniceps",3,1,6.02,NA,"","Burger2019(Burger,secondary)=6.02 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Callosciurus nigrovittatus",3,1,4.44,NA,"","Burger2019(Burger,secondary)=4.44 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Callosciurus notatus",3,1,4.91,NA,"","Burger2019(Burger,secondary)=4.91 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Callosciurus prevostii",3,1,6.52,NA,"","Burger2019(Burger,secondary)=6.52 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Caluromys derbianus",3,1,3.4,NA,"","Burger2019(Burger,secondary)=3.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Caluromys lanatus",3,1,3.1,NA,"","Burger2019(Burger,secondary)=3.1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Caluromys philander",3,1,3.5,NA,"","Burger2019(Burger,secondary)=3.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Camelus bactrianus",3,1,575,NA,"","Burger2019(Burger,secondary)=575 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Canis adustus",3,1,50.8,NA,"","Burger2019(Burger,secondary)=50.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Canis aureus",3,1,72.2,NA,"","Burger2019(Burger,secondary)=72.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Canis mesomelas",3,1,54.8,NA,"","Burger2019(Burger,secondary)=54.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Capra hircus domestica",3,1,106,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=106"
"Capreolus capreolus",3,1,92.7,NA,"","Burger2019(Burger,secondary)=92.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cardioderma cor",3,1,0.6725,NA,"","Burger2019(Burger,secondary)=0.67 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Carollia castanea",3,1,0.4485,NA,"","Burger2019(Burger,secondary)=0.45 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Carollia perspicillata",3,1,0.5087,NA,"","Burger2019(Burger,secondary)=0.51 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Casinycteris argynnis",3,1,0.8648,NA,"","Burger2019(Burger,secondary)=0.86 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Castor fiber",3,1,44.978,NA,"","Burger2019(Burger,secondary)=44.98 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Catopuma temminckii",3,1,68.03,NA,"","Burger2019(Burger,secondary)=68.03 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cavia aperea",3,1,4.04,NA,"","Burger2019(Burger,secondary)=4.04 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cebus capucinus",3,1,70.14,NA,"","Burger2019(Burger,secondary)=70.14 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cebus libidinosus",3,1,64.6854,NA,"","Burger2019(Burger,secondary)=64.69 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cebus nigritus",3,1,67.066,NA,"","Burger2019(Burger,secondary)=67.07 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cebus olivaceus",3,1,72.5,NA,"","Burger2019(Burger,secondary)=72.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cebus xanthosternos",3,1,66.0874,NA,"","Burger2019(Burger,secondary)=66.09 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cephalophus dorsalis",3,1,92.897,NA,"","Burger2019(Burger,secondary)=92.9 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cephalophus leucogaster",3,1,93,NA,"","Burger2019(Burger,secondary)=93 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cephalophus natalensis",3,1,84.1,NA,"","Burger2019(Burger,secondary)=84.1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cephalophus nigrifrons",3,1,85,NA,"","Burger2019(Burger,secondary)=85 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cephalophus silvicultor",3,1,170,NA,"","Burger2019(Burger,secondary)=170 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cephalophus zebra",3,1,83,NA,"","Burger2019(Burger,secondary)=83 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cephalorhynchus commersonii",3,1,725,NA,"","Burger2019(Burger,secondary)=725 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cephalorhynchus heavisidii",3,1,763,NA,"","Burger2019(Burger,secondary)=763 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ceratotherium simum",3,1,643,NA,"","Burger2019(Burger,secondary)=643 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercartetus caudatus",3,1,0.71,NA,"","Burger2019(Burger,secondary)=0.71 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercartetus concinnus",3,1,0.3,NA,"","Burger2019(Burger,secondary)=0.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercartetus lepidus",3,1,0.36,NA,"","Burger2019(Burger,secondary)=0.36 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercartetus nanus",3,1,0.43,NA,"","Burger2019(Burger,secondary)=0.43 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercocebus atys",3,1,86.8,NA,"","Burger2019(Burger,secondary)=86.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercocebus galeritus",3,1,99.0704,NA,"","Burger2019(Burger,secondary)=99.07 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercocebus torquatus",3,1,105.9883,NA,"","Burger2019(Burger,secondary)=105.99 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercopithecus albogularis",3,1,70.0998,NA,"","Burger2019(Burger,secondary)=70.1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercopithecus campbelli",3,1,54.4,NA,"","Burger2019(Burger,secondary)=54.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercopithecus cephus",3,1,76,NA,"","Burger2019(Burger,secondary)=76 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercopithecus diana",3,1,55.2,NA,"","Burger2019(Burger,secondary)=55.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercopithecus doggetti",3,1,65.3565,NA,"","Burger2019(Burger,secondary)=65.36 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercopithecus erythrotis",3,1,65.4,NA,"","Burger2019(Burger,secondary)=65.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercopithecus hamlyni",3,1,65.9,NA,"","Burger2019(Burger,secondary)=65.9 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercopithecus lhoesti",3,1,74.2,NA,"","Burger2019(Burger,secondary)=74.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercopithecus lowei",3,1,51.2,NA,"","Burger2019(Burger,secondary)=51.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercopithecus mona",3,1,67,NA,"","Burger2019(Burger,secondary)=67 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercopithecus neglectus",3,1,60.9,NA,"","Burger2019(Burger,secondary)=60.9 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercopithecus nictitans",3,1,71.125,NA,"","Burger2019(Burger,secondary)=71.12 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercopithecus petaurista",3,1,55.0766,NA,"","Burger2019(Burger,secondary)=55.08 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercopithecus pogonias",3,1,59.5648,NA,"","Burger2019(Burger,secondary)=59.56 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cercopithecus sp.",3,1,106,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Brodmann1913(Brodmann,primary)=106"
"Cercopithecus wolfi",3,1,61.45,NA,"","Burger2019(Burger,secondary)=61.45 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cerdocyon thous",3,1,49.5,NA,"","Burger2019(Burger,secondary)=49.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cervus canadensis",3,1,435,NA,"","Garwicz2009(Garwicz,secondary)=435 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cervus elaphus",3,1,409.3,NA,"","Burger2019(Burger,secondary)=409.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cervus nippon",3,1,200,NA,"","Burger2019(Burger,secondary)=200 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chaerephon jobensis",3,1,0.36,NA,"","Burger2019(Burger,secondary)=0.36 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chaerephon plicatus",3,1,0.385,NA,"","Burger2019(Burger,secondary)=0.38 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chaeropus ecaudatus",3,1,2.4,NA,"","Burger2019(Burger,secondary)=2.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chaetodipus baileyi",3,1,0.7,NA,"","Burger2019(Burger,secondary)=0.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chaetodipus californicus",3,1,0.62,NA,"","Burger2019(Burger,secondary)=0.62 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chaetodipus fallax",3,1,0.54,NA,"","Burger2019(Burger,secondary)=0.54 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chaetodipus formosus",3,1,0.49,NA,"","Burger2019(Burger,secondary)=0.49 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chaetodipus hispidus",3,1,0.68,NA,"","Burger2019(Burger,secondary)=0.68 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chaetodipus penicillatus",3,1,0.46,NA,"","Burger2019(Burger,secondary)=0.46 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chaetodipus spinatus",3,1,0.48,NA,"","Burger2019(Burger,secondary)=0.48 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chaetophractus villosus",3,1,16.4,NA,"","Burger2019(Burger,secondary)=16.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chalinolobus gouldii",3,1,0.24,NA,"","Burger2019(Burger,secondary)=0.24 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chalinolobus morio",3,1,0.1845,NA,"","Burger2019(Burger,secondary)=0.18 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cheirogaleus adipicaudatus",3,1,3.0374,NA,"","Burger2019(Burger,secondary)=3.04 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cheirogaleus sibreei",3,1,4.4,NA,"","Burger2019(Burger,secondary)=4.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cheirogaleus sp.",3,1,5.3,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Brodmann1913(Brodmann,primary)=5.3"
"Cheiromeles torquatus",3,1,1.366,NA,"","Burger2019(Burger,secondary)=1.37 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chimp I",3,1,345.95,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Weaver2001(Weaver,primary)=345.95"
"Chinchilla lanigera",3,1,6.8,NA,"","Burger2019(Burger,secondary)=6.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chiroderma salvini",3,1,0.787,NA,"","Burger2019(Burger,secondary)=0.79 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chiroderma trinitatum",3,1,0.537,NA,"","Burger2019(Burger,secondary)=0.54 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chiroderma villosum",3,1,0.706,NA,"","Burger2019(Burger,secondary)=0.71 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chironax melanocephalus",3,1,0.612,NA,"","Burger2019(Burger,secondary)=0.61 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chironectes minimus",3,1,5.54,NA,"","Burger2019(Burger,secondary)=5.54 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chiropodomys gliroides",3,1,0.7,NA,"","Burger2019(Burger,secondary)=0.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chiropotes chiropotes",3,1,57.043,NA,"","Burger2019(Burger,secondary)=57.04 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chiropotes israelita",3,1,55.1348,NA,"","Burger2019(Burger,secondary)=55.13 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chiropotes satanas",3,1,48.3303,NA,"","Burger2019(Burger,secondary)=48.33 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chlorocebus cynosuros",3,1,72,NA,"","Burger2019(Burger,secondary)=72 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chlorocebus sabaeus",3,1,64.9133,NA,"","Burger2019(Burger,secondary)=64.91 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Choeroniscus godmani",3,1,0.34,NA,"","Burger2019(Burger,secondary)=0.34 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Choeroniscus minor",3,1,0.389,NA,"","Burger2019(Burger,secondary)=0.39 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Choloepus hoffmanni",3,1,24.54,NA,"","Burger2019(Burger,secondary)=24.54 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chrotopterus auritus",3,1,1.74,NA,"","Burger2019(Burger,secondary)=1.74 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chrysocyon brachyurus",3,1,120.3,NA,"","Burger2019(Burger,secondary)=120.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Civettictis civetta",3,1,37,NA,"","Burger2019(Burger,secondary)=37 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Clyomys laticeps",3,1,3.52,NA,"","Burger2019(Burger,secondary)=3.52 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Coendou prehensilis",3,1,16.73,NA,"","Burger2019(Burger,secondary)=16.73 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Coendou rothschildi",3,1,20.85,NA,"","Burger2019(Burger,secondary)=20.85 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Coleura afra",3,1,0.2585,NA,"","Burger2019(Burger,secondary)=0.26 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Colobus guereza",3,1,83.9,NA,"","Burger2019(Burger,secondary)=83.9 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Colobus polykomos",3,1,70.2,NA,"","Burger2019(Burger,secondary)=70.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Colobus satanas",3,1,74.9,NA,"","Burger2019(Burger,secondary)=74.9 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Colobus vellerosus",3,1,73.0708,NA,"","Burger2019(Burger,secondary)=73.07 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Columba livia",3,1,2.0951,NA,"","Olkowicz2016(Olkowicz,primary)=2.1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Conepatus chinga",3,1,18.7,NA,"","Burger2019(Burger,secondary)=18.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Conepatus humboldtii",3,1,12.6,NA,"","Burger2019(Burger,secondary)=12.6 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Conepatus leuconotus",3,1,14.4,NA,"","Burger2019(Burger,secondary)=14.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Connochaetes taurinus",3,1,443,NA,"","Burger2019(Burger,secondary)=443 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cormura brevirostris",3,1,0.219,NA,"","Burger2019(Burger,secondary)=0.22 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Corvus corax",3,1,14.1351,NA,"","Olkowicz2016(Olkowicz,primary)=14.14 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Corvus frugilegus",3,1,8.3571,NA,"","Olkowicz2016(Olkowicz,primary)=8.36 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Corvus mondeula",3,1,6.0233,NA,"","Olkowicz2016(Olkowicz,primary)=6.02 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Craseonycteris thonglongyai",3,1,0.087,NA,"","Burger2019(Burger,secondary)=0.09 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cratogeomys fumosus",3,1,4.19,NA,"","Burger2019(Burger,secondary)=4.19 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cremnomys cutchicus",3,1,1.67,NA,"","Burger2019(Burger,secondary)=1.67 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cricetomys gambianus",3,1,6.57,NA,"","Burger2019(Burger,secondary)=6.57 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cricetulus barabensis",3,1,0.6699,NA,"","Burger2019(Burger,secondary)=0.67 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cricetus cricetus",3,1,2.2,NA,"","Burger2019(Burger,secondary)=2.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cro-Magnon",3,1,1477.34,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Weaver2001(Weaver,primary)=1477.34"
"Crocidura fuscomurina",3,1,0.13,NA,"","Burger2019(Burger,secondary)=0.13 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Crocidura russala",3,1,0.19,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=0.19"
"Crossarchus obscurus",3,1,9.99,NA,"","Burger2019(Burger,secondary)=9.99 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cryptomys hottentotus natalensis",3,1,1.24,NA,"","Kverkova2018(Kverkova,secondary)=1.24 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cryptomys hottentotus pretoriae",3,1,1.35,NA,"","Kverkova2018(Kverkova,secondary)=1.35 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cryptoprocta ferox",3,1,32.1,NA,"","Burger2019(Burger,secondary)=32.1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cuniculus paca",3,1,35.22,NA,"","Burger2019(Burger,secondary)=35.22 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cuon alpinus",3,1,94.6,NA,"","Burger2019(Burger,secondary)=94.6 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cyanopica cyanus",3,1,3.3927,NA,"","Olkowicz2016(Olkowicz,primary)=3.39 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cyclopes didactylus",3,1,4.29,NA,"","Burger2019(Burger,secondary)=4.29 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cynocephalus volans",3,1,6.2,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=6.2"
"Cynogale bennettii",3,1,29.96,NA,"","Burger2019(Burger,secondary)=29.96 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cynomops abrasus",3,1,0.418,NA,"","Burger2019(Burger,secondary)=0.42 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cynomops greenhalli",3,1,0.3,NA,"","Burger2019(Burger,secondary)=0.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cynomops planirostris",3,1,0.185,NA,"","Burger2019(Burger,secondary)=0.18 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cynomys gunnisoni",3,1,5.14,NA,"","Burger2019(Burger,secondary)=5.14 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cynomys leucurus",3,1,5.77,NA,"","Burger2019(Burger,secondary)=5.77 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cynomys ludovicianus",3,1,5.69,NA,"","Burger2019(Burger,secondary)=5.69 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cynomys mexicanus",3,1,5.525,NA,"","Burger2019(Burger,secondary)=5.53 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cynomys parvidens",3,1,5.58,NA,"","Burger2019(Burger,secondary)=5.58 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
