Species,species_as_published,area_as_published,layer,areal_proportion_pct,n_specimens,source,source_location,data_role
Cercocebus albigena,Cercocebus albigena,area23_posterior_cingulate,molecular,16,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Cercocebus albigena,Cercocebus albigena,area23_posterior_cingulate,outer_main,45,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Cercocebus albigena,Cercocebus albigena,area23_posterior_cingulate,granular,10,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Cercocebus albigena,Cercocebus albigena,area23_posterior_cingulate,inner_main,29,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Cercocebus albigena,Cercocebus albigena,area31_posterior_cingulate,molecular,15,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Cercocebus albigena,Cercocebus albigena,area31_posterior_cingulate,outer_main,45,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Cercocebus albigena,Cercocebus albigena,area31_posterior_cingulate,granular,13,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Cercocebus albigena,Cercocebus albigena,area31_posterior_cingulate,inner_main,27,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Papio sp.,Papio sp.,area29_posterior_cingulate,molecular,19,2,Zilles_etal_1986_Table1,"Table 1, area29",primary
Papio sp.,Papio sp.,area29_posterior_cingulate,outer_main,25,2,Zilles_etal_1986_Table1,"Table 1, area29",primary
Papio sp.,Papio sp.,area29_posterior_cingulate,inner_main,56,2,Zilles_etal_1986_Table1,"Table 1, area29",primary
Papio sp.,Papio sp.,area30_posterior_cingulate,molecular,17,2,Zilles_etal_1986_Table1,"Table 1, area30",primary
Papio sp.,Papio sp.,area30_posterior_cingulate,outer_main,44,2,Zilles_etal_1986_Table1,"Table 1, area30",primary
Papio sp.,Papio sp.,area30_posterior_cingulate,inner_main,39,2,Zilles_etal_1986_Table1,"Table 1, area30",primary
Papio sp.,Papio sp.,area23_posterior_cingulate,molecular,15,2,Zilles_etal_1986_Table1,"Table 1, area23",primary
Papio sp.,Papio sp.,area23_posterior_cingulate,outer_main,42,2,Zilles_etal_1986_Table1,"Table 1, area23",primary
Papio sp.,Papio sp.,area23_posterior_cingulate,granular,9,2,Zilles_etal_1986_Table1,"Table 1, area23",primary
Papio sp.,Papio sp.,area23_posterior_cingulate,inner_main,34,2,Zilles_etal_1986_Table1,"Table 1, area23",primary
