"Original_Term","Reference","Standard_old","DosSantos2017_old","JardimMessender2017_old","Standardized_Term"
"Olfactory bulb N/mg","HerculanoHouzel_etal_2015_Table4","OlfactoryBulb_Nmg","DNOB","DNOB","OlfactoryBulb_N/mg"
"Olfactory bulb N/mg SD","HerculanoHouzel_etal_2015_Table4","OlfactoryBulb_Nmg_SD","",NA,"OlfactoryBulb_N/mg_SD"
"Olfactory bulb O, n","HerculanoHouzel_etal_2015_Table4","OlfactoryBulb_O_n","","OOB","OlfactoryBulb_O,n"
"Olfactory bulb O, n SD","HerculanoHouzel_etal_2015_Table4","OlfactoryBulb_O_n_SD","",NA,"OlfactoryBulb_O,n_SD"
"Olfactory bulb O/mg","HerculanoHouzel_etal_2015_Table4","OlfactoryBulb_Omg","",NA,"OlfactoryBulb_O/mg"
"Olfactory bulb O/mg SD","HerculanoHouzel_etal_2015_Table4","OlfactoryBulb_Omg_SD","",NA,"OlfactoryBulb_O/mg_SD"
"Olfactory bulb O/N","HerculanoHouzel_etal_2015_Table4","OlfactoryBulb_ON","O/NOB","O/NOB","OlfactoryBulb_O/N"
"Olfactory bulb O/N SD","HerculanoHouzel_etal_2015_Table4","OlfactoryBulb_ON_SD","",NA,"OlfactoryBulb_O/N_SD"
"Olfactory bulb Source","HerculanoHouzel_etal_2015_Table4","OlfactoryBulb_Source","",NA,"OlfactoryBulb_Source"
"Olfactory bulbs_FractionofBrain","Kverkova_etal_2018_TableS1",NA,NA,NA,"OlfactoryBulb_FractionofBrain"
"Olfactory bulbs_N,n","Kverkova_etal_2018_TableS5",NA,NA,NA,"OlfactoryBulb_N,n"
"Olfactory bulbs_N,n_SD","Kverkova_etal_2018_TableS5",NA,NA,NA,"OlfactoryBulb_N,n"
"Olfactory bulbs_Vol,mm3","Kverkova_etal_2018_TableS1",NA,NA,NA,"OlfactoryBulb_Vol,mm3"
"Olfactory bulbs_Vol,mm3_SD","Kverkova_etal_2018_TableS1",NA,NA,NA,"OlfactoryBulb_Vol,mm3"
"Olfactory cortices_FractionofBrain","Kverkova_etal_2018_TableS1",NA,NA,NA,"OlfactoryCortices_FractionofBrain"
"Olfactory cortices_Vol,mm3","Kverkova_etal_2018_TableS1",NA,NA,NA,"OlfactoryCortices_Vol,mm3"
"Olfactory cortices_Vol,mm3_SD","Kverkova_etal_2018_TableS1",NA,NA,NA,"OlfactoryCortices_Vol,mm3"
"OOB","JardimMesseder_etal_2017_Table1",NA,NA,NA,"OlfactoryBulb_O,n"
"Order","HerculanoHouzel_etal_2015_Table4","Order","",NA,"Order"
"Order","HerculanoHouzel_etal_2015_Table3","Order","",NA,"Order"
"Order","HerculanoHouzel_etal_2015_Table5","Order","",NA,"Order"
"Order","HerculanoHouzel_etal_2015_Table2","Order","",NA,"Order"
"Order","HerculanoHouzel_etal_2015_Table1","Order","",NA,"Order"
"ORoB","JardimMesseder_etal_2017_Table1",NA,NA,NA,"RoB_O,n"
"P+M_C","DosSantos_etal_2020_Table1",NA,NA,NA,"PonsMedulla_C,n"
"P+M_I","DosSantos_etal_2020_Table1",NA,NA,NA,"PonsMedulla_I,n"
"P+M_I/mg","DosSantos_etal_2020_Table1",NA,NA,NA,"PonsMedulla_I/mg"
"P+M_I/N","DosSantos_etal_2020_Table1",NA,NA,NA,"PonsMedulla_I/N"
"P+M_N","DosSantos_etal_2020_Table1",NA,NA,NA,"PonsMedulla_N,n"
"P+M_N/mg","DosSantos_etal_2020_Table1",NA,NA,NA,"PonsMedulla_N/mg"
